대분류,중분류,소분류
화학,대기/ 폐기물,환경설비기술
화학,수질/토양,환경설비 기술
화학,수질/토양,환경산업부품․소재기술
화학,대기/ 폐기물,환경산업 부품소재기술
화학,세라믹 재료,화학ㆍ생체 기능재료
화학,정밀화학,화장품/소재
화학,수질/토양,해양오염 방지기술
화학,대기/ 폐기물,폐기물처리 및 재활용 기술
화학,섬유제품,편직기술
화학,고분자 재료,특수기능성 소재기술
화학,수질/토양,토양오염 방지기술
화학,염색가공,침염기술
화학,화학공정,촉매 응용기술
화학,정밀화학,첨가제
화학,화학제품,천연피혁
화학,섬유제조,천연섬유방적
화학,고분자 재료,중합반응/공정기술
화학,섬유제조,중합개질
화학,섬유제조,제직설비
화학,섬유제조,제직기술
화학,화학제품,제지
화학,정밀화학,접착제/실란트
화학,정밀화학,전자산업용 정밀화학소재
화학,고분자 재료,전기ㆍ전자정보용 소재기술
화학,화학제품,인조피혁
화학,정밀화학,의약제제
화학,정밀화학,의약 중간체/원제
화학,섬유제품,의류패션
화학,고분자 재료,의료용 소재기술
화학,섬유제품,융합섬유제품
화학,정밀화학,윤활유
화학,정밀화학,유ㆍ무기재료 및 촉매 제조기술
화학,세라믹 재료,"유리,유약,법랑"
화학,세라믹 재료,원료 및 나노세라믹 분말
화학,염색가공,염색설비
화학,정밀화학,염/안료 및 중간체
화학,고분자 재료,에너지ㆍ환경산업용 소재기술
화학,세라믹 재료,"시멘트,콘크리트,내화물"
화학,수질/토양,수질오염 방지기술
화학,세라믹 재료,세라믹제조공정기술
화학,섬유제품,섬유제품설비
화학,섬유제조,섬유방사
화학,화학공정,석유화학 부산물 응용기술
화학,섬유제품,산업용섬유제품
화학,섬유제조,산업용 섬유제조기술
화학,염색가공,사염기술
화학,섬유제조,사가공설비
화학,섬유제조,사가공기술
화학,섬유제품,부직포제조
화학,섬유제품,부직포가공기술
화학,섬유제품,봉제기술
화학,고분자 재료,복합재료제조기술
화학,섬유제조,방사설비
화학,염색가공,물리ㆍ화학적 가공기술
화학,세라믹 재료,"도자기,타일 등"
화학,정밀화학,도료/코팅제
화학,대기/ 폐기물,대기오염 방지기술
화학,세라믹 재료,단결정
화학,정밀화학,농약제제
화학,정밀화학,농약 중간체/원제
화학,염색가공,날염기술
화학,정밀화학,나노응용기술
화학,고분자 재료,나노소재기술
화학,세라믹 재료,나노세라믹 복합재료기술
화학,섬유제품,나노섬유제품기술
화학,섬유제조,나노섬유제조기술
화학,대기/ 폐기물,기타 환경산업기술
화학,수질/토양,기타 환경산업기술
화학,화학제품,기타 화학제품
화학,화학공정,기타 화학공정
화학,정밀화학,기타 합성응용제품
화학,염색가공,기타 염색가공
화학,세라믹 재료,기타 세라믹재료
화학,섬유제품,기타 섬유제품기술
화학,섬유제조,기타 섬유제조
화학,고분자 재료,기타 고분자 재료
화학,화학공정,기초유기소재공정기술
화학,화학공정,기초무기소재공정기술
화학,세라믹 재료,광ㆍ전자세라믹스
화학,화학공정,공정시스템기술
화학,화학공정,공정설비기술
화학,고분자 재료,고분자가공기술
화학,고분자 재료,고분자 재활용기술
화학,화학제품,고무(타이어포함)
화학,세라믹 재료,고강도ㆍ열 기능재료
화학,정밀화학,계면활성제
화학,고분자 재료,개질기술
화학,정밀화학,감광재료
화학,염색가공,가먼트염색기술
화학,염색가공,가공설비
정보통신,RFID/USN,활용서비스 플랫홈 및 응용SW
정보통신,홈네트워크,홈네트워크 정보보호
정보통신,홈네트워크,홈네트워크 응용 및 서비스 기술
정보통신,홈네트워크,홈네트워크 기기
정보통신,ITS/텔레매틱스,텔레매틱스 응용서비스
정보통신,ITS/텔레매틱스,텔레매틱스 단말 및 기기
정보통신,위성-전파,탑제체 및 관제
정보통신,디지털 콘텐츠,콘텐츠 창작 기획
정보통신,디지털 콘텐츠,컴퓨터 그래픽
정보통신,홈네트워크,지능형 정보가전
정보통신,지식정보보안,정보보안
정보통신,위성-전파,전자파기기
정보통신,위성-전파,전자파 진단 및 방호
정보통신,광대역 통합망,전달망
정보통신,소프트웨어,임베디드 SW
정보통신,이동통신,이동통신 시스템
정보통신,이동통신,이동통신 서비스
정보통신,정보통신 모듈 및 부품,이동통신 모듈 및 부품
정보통신,이동통신,이동통신 단말기
정보통신,지식정보보안,융합보안
정보통신,홈네트워크,유ㆍ무선 홈네트워킹 기술
정보통신,정보통신 모듈 및 부품,위성ㆍ방송 모듈 및 부품
정보통신,위성-전파,위성항법
정보통신,위성-전파,위성통신ㆍ방송 전송
정보통신,위성-전파,위성통신ㆍ방송 단말
정보통신,정보통신 모듈 및 부품,안테나 모듈 및 부품
정보통신,광대역 통합망,서비스 및 제어
정보통신,U-컴퓨팅,서버기술
정보통신,지식정보보안,물리보안
정보통신,RFID/USN,모바일-RFID
정보통신,정보통신 모듈 및 부품,멀티미디어 모듈 및 부품
정보통신,디지털 콘텐츠,디지털 콘텐츠 제작 및 유통
정보통신,디지털 방송,디지털 방송 통방융합
정보통신,디지털 방송,디지털 방송 콘텐츠
정보통신,디지털 방송,디지털 방송 이동방송
정보통신,디지털 방송,디지털 방송 실감방송
정보통신,디지털 방송,디지털 방송 서비스
정보통신,디지털 방송,디지털 방송 매체
정보통신,디지털 방송,디지털 방송 단말
정보통신,이동통신,기타 이동통신기기
정보통신,정보통신 모듈 및 부품,광통신모듈및부품
정보통신,디지털 콘텐츠,게임 및 u-러닝
정보통신,광대역 통합망,가입자망
정보통신,디지털 콘텐츠,가상현실
정보통신,U-컴퓨팅,U-컴퓨팅 플랫홈 및 응용기술
정보통신,U-컴퓨팅,U-컴퓨팅 기기 및 주변기기
정보통신,RFID/USN,USN기술
정보통신,소프트웨어,SystemIntegration
정보통신,소프트웨어,SW솔루션
정보통신,RFID/USN,RFID기술
정보통신,RFID/USN,RFID/USN서비스
정보통신,ITS/텔레매틱스,ITS응용서비스
정보통신,ITS/텔레매틱스,ITS단말 및 기기
정보통신,소프트웨어,InternetSW
정보통신,위성-전파,EMI/EMC
전기&전자,영상/음향기기,휴대용 AV기기
전기&전자,계측기기,환경계측기
전기&전자,반도체소자 및 시스템,화합물 소자
전기&전자,계측기기,화학량 시험/분석 계측기
전기&전자,영상/음향기기,화상통신
전기&전자,가정용기기및 전자응용기기,현금자동입출금기
전기&전자,전기전자부품,플라즈마 발생용 부품
전기&전자,반도체장비,폴리싱(CMP)장비
전기&전자,반도체장비,패키징장비
전기&전자,전기전자부품,커패시터 부품
전기&전자,영상/음향기기,카메라 및 캠코더
전기&전자,영상/음향기기,카 오디오
전기&전자,반도체장비,측정/검사 장비
전기&전자,중전기기,초전도 기술/제품
전기&전자,전기전자부품,초고주파 발생소자
전기&전자,전지,초고용량 커패시터
전기&전자,반도체장비,증착장비
전기&전자,가정용기기및 전자응용기기,조명기기
전기&전자,전지,제조 및 측정평가 장비
전기&전자,가정용기기및 전자응용기기,정보가전기기
전기&전자,전지,전지재료
전기&전자,계측기기,전자 계측기
전기&전자,중전기기,전원장치
전기&전자,중전기기,전선
전기&전자,중전기기,전력용 재료
전기&전자,중전기기,전력변환기기
전기&전자,중전기기,전기용접 및 가열
전기&전자,중전기기,전기로
전기&전자,영상/음향기기,전광판
전기&전자,전기전자부품,자성재료 부품
전기&전자,중전기기,자동화제어기기
전기&전자,가정용기기및 전자응용기기,자동판매기
전기&전자,전지,일차전지
전기&전자,전지,이차전지
전기&전자,반도체장비,이온주입장비
전기&전자,전지,응용 및 활용기술(HEV등)
전기&전자,가정용기기및 전자응용기기,음성정보기술 응용기기
전기&전자,계측기기,유체 제어계측기
전기&전자,반도체장비,열처리장비
전기&전자,반도체장비,에칭 장비
전기&전자,중전기기,에너지저장기기
전기&전자,계측기기,안전감시/진단 계측제어기
전기&전자,영상/음향기기,스피커
전기&전자,중전기기,송배전 및 보호/감시장치
전기&전자,가정용기기및 전자응용기기,소형가전
전기&전자,전기전자부품,센서 부품
전기&전자,반도체장비,세정장비
전기&전자,반도체소자 및 시스템,설계 Tool
전기&전자,전기전자부품,복합 부품
전기&전자,중전기기,변압기류
전기&전자,가정용기기및 전자응용기기,백색가전
전기&전자,영상/음향기기,방송수신기
전기&전자,영상/음향기기,방송 AV기기
전기&전자,중전기기,발전기/전동기 및 제어
전기&전자,반도체장비,반도체장비용 핵심부품 및제조장비
전기&전자,반도체소자 및 시스템,반도체 재료
전기&전자,계측기기,물리량 시험/분석 계측기
전기&전자,영상/음향기기,마이크로폰
전기&전자,광응용기기,레이저 관련부품 및 발생장치
전기&전자,광응용기기,레이저 가공기
전기&전자,디스플레이,디스플레이측정 및 검사장비
전기&전자,디스플레이,디스플레이 제조장비
전기&전자,디스플레이,디스플레이 부품 및 소재
전기&전자,반도체장비,노광․트랙장비
전기&전자,가정용기기및 전자응용기기,냉․난방기기
전기&전자,디스플레이,기타디스플레이
전기&전자,중전기기,기타 중전기기
전기&전자,전지,기타 전지
전기&전자,전기전자부품,기타 전기전자부품
전기&전자,영상/음향기기,기타 영상/음향기기
전기&전자,반도체장비,기타 반도체장비
전기&전자,반도체소자 및 시스템,기타 반도체 소자
전기&전자,광응용기기,기타 광응용 기기
전기&전자,계측기기,기타 계측기기
전기&전자,가정용기기및 전자응용기기,기타 가정용기기 및전자응용기기
전기&전자,전기전자부품,기록매체 부품
전기&전자,광응용기기,광원
전기&전자,광응용기기,광소재
전기&전자,광응용기기,광소자
전기&전자,광응용기기,광부품
전기&전자,광응용기기,광계측ㆍ제어기기
전기&전자,계측기기,광계측기
전기&전자,계측기기,계측센서 및 부품
전기&전자,광응용기기,결상기기
전기&전자,영상/음향기기,건축음향 및 응용기기
전기&전자,중전기기,개폐기류
전기&전자,가정용기기및 전자응용기기,가정용 가스기기
전기&전자,영상/음향기기,TV수상기
전기&전자,반도체소자 및 시스템,SoC
전기&전자,반도체소자 및 시스템,Si소자
전기&전자,반도체소자 및 시스템,Sensor용 소자
전기&전자,디스플레이,PDP
전기&전자,전기전자부품,PCB부품
전기&전자,반도체소자 및 시스템,MEMS소자
전기&전자,디스플레이,LCD
전기&전자,디스플레이,FED
전기&전자,디스플레이,E-Paper
전기&전자,디스플레이,EL
전기&전자,영상/음향기기,AV재생 및 기록기기
전기&전자,영상/음향기기,3차원 영상기기
전기&전자,디스플레이,3D
에너지&자원,원자력,핵연료 및 부품 소재 기술
에너지&자원,신재생 에너지,해양
에너지&자원,신재생 에너지,합성연료
에너지&자원,신재생 에너지,풍력
에너지&자원,신재생 에너지,폐기물
에너지&자원,신재생 에너지,태양열
에너지&자원,신재생 에너지,태양광
에너지&자원,수화력발전,첨단 발전제어 기술
에너지&자원,전력IT,직류 송ㆍ배전 기술
에너지&자원,신재생 에너지,지열
에너지&자원,전력IT,지능형 전력망 플랫폼 기술
에너지&자원,송-배전계통,전자계 환경 기술
에너지&자원,송-배전계통,전력전자 기술
에너지&자원,송-배전계통,전력용 신소재 기술
에너지&자원,송-배전계통,전력시장 운용 기술
에너지&자원,송-배전계통,전력설비/기기 개발 및 진단 기술
에너지&자원,송-배전계통,전력계통 계획 기술
에너지&자원,송-배전계통,전력계통 감시․운영 기술
에너지&자원,전력IT,전력 유비쿼터스 기술
에너지&자원,송-배전계통,전기안전기술
에너지&자원,자원,자원조사․탐사
에너지&자원,자원,자원 활용
에너지&자원,원자력,원전계측ㆍ제어기술
에너지&자원,원자력,원전 운영 및 정비 기술
에너지&자원,원자력,원전 안전평가 기술
에너지&자원,원자력,원전 부지 및 환경 기술
에너지&자원,원자력,원전 계통 및 핵심기기 기술
에너지&자원,원자력,원자력 기반․첨단기술
에너지&자원,신재생 에너지,연료전지
에너지&자원,원자력,신원전 기술
에너지&자원,수화력발전,수화력발전 환경오염방지기술
에너지&자원,송-배전계통,수요예측․관리 기술
에너지&자원,신재생 에너지,수소
에너지&자원,송-배전계통,송ㆍ변ㆍ배전 시스템 기술
에너지&자원,신재생 에너지,소수력
에너지&자원,신재생 에너지,석탄가스화/액화
에너지&자원,수화력발전,석탄 청정화/이용 기술
에너지&자원,자원,석유․가스 개발
에너지&자원,원자력,방사성 폐기물 관리 기술
에너지&자원,원자력,방사선 관리 기술
에너지&자원,수화력발전,발전설비/기기개발
에너지&자원,수화력발전,발전설비 운영 기술
에너지&자원,신재생 에너지,바이오연료
에너지&자원,전력IT,마이크로 그리드 기술
에너지&자원,송-배전계통,대용량 전력수송․ 저장 기술
에너지&자원,원자력,노심해석 기술
에너지&자원,온실가스처리,기타 온실가스 처리기술
에너지&자원,자원,광물자원 개발
에너지&자원,수화력발전,고온고압화 발전기술
에너지&자원,수화력발전,가스터빈 기술
에너지&자원,온실가스처리,non-CO2 처리기술
에너지&자원,전력IT,IT기반 고부가 서비스 기술
에너지&자원,온실가스처리,CO2 포집기술
에너지&자원,온실가스처리,CO2 전환기술
에너지&자원,온실가스처리,CO2 저장기술
바이의&의료,의약바이오,효소의약품
바이의&의료,치료기기 및 진단기기,핵의학 및 분자 영상 진단기기
바이의&의료,의료정보 및 시스템,한의정보 표준시스템
바이의&의료,치료기기 및 진단기기,한방용 치료기기
바이의&의료,치료기기 및 진단기기,한방용 진단기기
바이의&의료,의약바이오,치료용항체
바이의&의료,치료기기 및 진단기기,초음파진단기기
바이의&의료,의약바이오,천연물의약품
바이의&의료,치료기기 및 진단기기,지능형 판독시스템
바이의&의료,치료기기 및 진단기기,중재적 치료기기
바이의&의료,기능복원/보조 및 복지기기,전자기계식 인공장기
바이의&의료,의약바이오,저분자의약품
바이의&의료,기능복원/보조 및 복지기기,재활훈련기기
바이의&의료,기능복원/보조 및 복지기기,임플란트
바이의&의료,치료기기 및 진단기기,임상화학 및 생물 분석기기
바이의&의료,기능복원/보조 및 복지기기,인지/감각기능 지원기기
바이의&의료,기능복원/보조 및 복지기기,이동지원기기
바이의&의료,의약바이오,의약바이오기반기술 및 시스템
바이의&의료,의료정보 및 시스템,의료정보표준화
바이의&의료,기능복원/보조 및 복지기기,의료용 소재
바이의&의료,의약바이오,유전자의약품
바이의&의료,의료정보 및 시스템,원격 및 재택 의료기기
바이의&의료,의약바이오,약물전달시스템
바이의&의료,기능복원/보조 및 복지기기,신체 기능 복원기기
바이의&의료,의약바이오,시약/진단제
바이의&의료,치료기기 및 진단기기,수술용 치료기기
바이의&의료,치료기기 및 진단기기,수술용 로봇
바이의&의료,의약바이오,세포 및 조직치료제
바이의&의료,기능복원/보조 및 복지기기,생활지원기기 및 시스템
바이의&의료,기능복원/보조 및 복지기기,생체재료
바이의&의료,치료기기 및 진단기기,생체신호 측정/진단기기
바이의&의료,치료기기 및 진단기기,분자유전진단기기
바이의&의료,의료정보 및 시스템,병원의료정보 시스템 및 설비
바이의&의료,의약바이오,백신
바이의&의료,치료기기 및 진단기기,방사선치료기
바이의&의료,산업바이오,바이오환경
바이의&의료,산업바이오,바이오화학소재
바이의&의료,산업바이오,바이오화장품/소재
바이의&의료,산업바이오,바이오플라스틱
바이의&의료,바이오공정/ 기기,바이오전자/정보
바이의&의료,의약바이오,바이오인공장기
바이의&의료,바이오공정/ 기기,바이오엔지니어링기술
바이의&의료,의약바이오,바이오생체재료
바이의&의료,바이오공정/ 기기,바이오분석기기
바이의&의료,산업바이오,바이오매스
바이의&의료,산업바이오,바이오농축수산제제
바이의&의료,바이오공정/ 기기,바이오공정장비기술
바이의&의료,바이오공정/ 기기,바이오공정기술
바이의&의료,산업바이오,미생물 및 효소촉매
바이의&의료,의약바이오,단백질의약품
바이의&의료,치료기기 및 진단기기,기타 치료기기
바이의&의료,치료기기 및 진단기기,기타 치료 및 진단기기
바이의&의료,의료정보 및 시스템,기타 의료 정보 및 시스템
바이의&의료,산업바이오,기타 산업바이오
바이의&의료,의약바이오,기타 바이오의약품/소재
바이의&의료,바이오공정/ 기기,기타 바이오공정/기기
바이의&의료,기능복원/보조 및 복지기기,기타 기능복원/보조 및 복지기기
바이의&의료,산업바이오,기능성 식품소재
바이의&의료,산업바이오,기능성 바이오소재
바이의&의료,치료기기 및 진단기기,X-ray및 CT
바이의&의료,의료정보 및 시스템,U-EHR(electronichealthrecord)
바이의&의료,치료기기 및 진단기기,MRI
기계&소재,요소부품,회전축용 요소부품
기계&소재,청정생산,환경친화제품 제조기술
기계&소재,청정생산,환경친화적 제품설계기술
기계&소재,조선/해양시스템,해양레저 및 탐사장비
기계&소재,조선/해양시스템,해양구조물/설비기술
기계&소재,조선/해양시스템,해양 환경/안전설비
기계&소재,항공/우주시스템,항공우주 지상설비 시스템
기계&소재,항공/우주시스템,항공/우주 시스템 관련 S/W
기계&소재,정밀생산기계,프레스 기계
기계&소재,표면처리,표면물성 개질기술
기계&소재,에너지/환경 기계시스템,폐기물 처리설비
기계&소재,소성가공/분말,판재성형기술
기계&소재,주조/용접,특수주조
기계&소재,주조/용접,특수용접/접합기술
기계&소재,표면처리,침탄/질화기술
기계&소재,요소부품,치공구
기계&소재,나노ㆍ마이크로 기계시스템,초소형 디바이스
기계&소재,나노ㆍ마이크로 기계시스템,초소형 구동장치
기계&소재,나노ㆍ마이크로 기계시스템,초소형 가공․조립․측정기술
기계&소재,요소부품,체결용 요소부품
기계&소재,청정생산,청정생산 공정설계
기계&소재,자동차/철도차량,철도차량 추진/제어기술
기계&소재,자동차/철도차량,차체 및 경량화 기술
기계&소재,자동차/철도차량,차량운동성능 및 진동/소음저감기술
기계&소재,자동차/철도차량,차량 지능화 기술
기계&소재,주조/용접,주조/용접재료
기계&소재,주조/용접,주조/용접 관련 S/W
기계&소재,조선/해양시스템,주기/보기 및 추진계통부품
기계&소재,조선/해양시스템,조선/해양시스템관련S/W
기계&소재,로봇/자동화기계,조립/정밀 이송기술
기계&소재,산업/일반기계,정보산업장비
기계&소재,요소부품,절삭/연삭공구
기계&소재,정밀생산기계,절삭 가공기계
기계&소재,표면처리,전자부품 표면처리기술
기계&소재,요소부품,전동용 요소부품
기계&소재,정밀생산기계,전기/화학 에너지 응용가공기계
기계&소재,자동차/철도차량,전기 및 전자장치
기계&소재,자동차/철도차량,저공해 및 대체에너지 차량기술
기계&소재,금속재료,재료분석/평가기술
기계&소재,금속재료,재료공정기술
기계&소재,청정생산,자원재활용 기술
기계&소재,로봇/자동화기계,자동화 관련 계측/센서 기술
기계&소재,산업/일반기계,일반가공기계
기계&소재,산업/일반기계,인쇄/섬유기계
기계&소재,소성가공/분말,인발기술
기계&소재,항공/우주시스템,인공위성체/탑재체 시스템
기계&소재,청정생산,유해 원부재료 대체기술
기계&소재,에너지/환경 기계시스템,유체기계
기계&소재,요소부품,유공압 부품
기계&소재,산업/일반기계,운송하역기계
기계&소재,주조/용접,용접부 분석평가기술
기계&소재,표면처리,용사기술
기계&소재,요소부품,요소부품 관련 S/W
기계&소재,요소부품,완충/제동용 요소부품
기계&소재,표면처리,열처리기술
기계&소재,정밀생산기계,연삭/연마 가공기계
기계&소재,자동차/철도차량,엔진 및 동력전달장치
기계&소재,표면처리,에칭기술
기계&소재,금속재료,에너지소재기술
기계&소재,에너지/환경 기계시스템,에너지/환경 제어설비
기계&소재,에너지/환경 기계시스템,에너지/환경 기계 시스템 관련 S/W
기계&소재,요소부품,액츄에이터
기계&소재,항공/우주시스템,액체 추진제 발사체 시스템
기계&소재,소성가공/분말,압출기술
기계&소재,소성가공/분말,압연기술
기계&소재,자동차/철도차량,안전도 향상기술
기계&소재,주조/용접,아크용접
기계&소재,산업/일반기계,식품포장기계
기계&소재,나노ㆍ마이크로 기계시스템,시스템 특성분석․ 신뢰성 평가기술
기계&소재,나노ㆍ마이크로 기계시스템,시스템 통합화 기술
기계&소재,자동차/철도차량,시스템 통합기술
기계&소재,나노ㆍ마이크로 기계시스템,시스템 집적화 기술
기계&소재,정밀생산기계,수치제어장치
기계&소재,에너지/환경 기계시스템,수처리 설비
기계&소재,소성가공/분말,소성가공 관련 S/W
기계&소재,조선/해양시스템,선형 개발/성능해석기술
기계&소재,조선/해양시스템,선박소재/구조기술
기계&소재,조선/해양시스템,선박생산시스템/건조공법
기계&소재,금속재료,생체재료기술
기계&소재,산업/일반기계,산업/일반기계관련 S/W
기계&소재,주조/용접,사형주조
기계&소재,정밀생산기계,사출 기계
기계&소재,소성가공/분말,분말제조기술
기계&소재,소성가공/분말,분말가공기술
기계&소재,표면처리,부/방식기술
기계&소재,금속재료,복합재료
기계&소재,에너지/환경 기계시스템,보일러/로설비
기계&소재,요소부품,배관용 요소부품
기계&소재,산업/일반기계,방재소방기계
기계&소재,표면처리,박막제조기술
기계&소재,로봇/자동화기계,로봇/자동화기계 관련 S/W
기계&소재,로봇/자동화기계,로봇 제어 및 지능화기술
기계&소재,로봇/자동화기계,로봇 설계기술
기계&소재,로봇/자동화기계,로봇 비젼 및 생산자동화 기술
기계&소재,표면처리,도금기술
기계&소재,에너지/환경 기계시스템,대기오염 방지 설비
기계&소재,소성가공/분말,단조기술
기계&소재,주조/용접,다이케스팅
기계&소재,산업/일반기계,농업기계
기계&소재,나노ㆍ마이크로 기계시스템,나노마이크로 센서
기계&소재,나노ㆍ마이크로 기계시스템,나노 마이크로기계시스템 관련 S/W
기계&소재,항공/우주시스템,기타 항공/우주 시스템 관련기술
기계&소재,표면처리,기타 표면처리기술
기계&소재,주조/용접,기타 주조/용접 관련기술
기계&소재,조선/해양시스템,기타 조선/해양 시스템 관련기술
기계&소재,정밀생산기계,기타 정밀생산기계 관련기술
기계&소재,자동차/철도차량,기타 자동차/철도차량관련기술
기계&소재,요소부품,기타 요소부품
기계&소재,에너지/환경 기계시스템,기타 에너지/환경 기계 시스템 관련기술
기계&소재,소성가공/분말,기타 소성가공/분말 관련기술
기계&소재,산업/일반기계,기타 산업/일반기계 관련기술
기계&소재,로봇/자동화기계,기타 로봇/자동화기계 관련기술
기계&소재,나노ㆍ마이크로 기계시스템,기타 나노 마이크로기계시스템 관련기술
기계&소재,금속재료,기타 금속재료 관련기술
기계&소재,금속재료,기능재료
기계&소재,금속재료,기계/전자부품소재기술
기계&소재,로봇/자동화기계,기계 자동화 기술
기계&소재,주조/용접,금형주조
기계&소재,요소부품,금형
기계&소재,금속재료,금속정제/회수기술
기계&소재,금속재료,구조재료
기계&소재,정밀생산기계,광 에너지 응용 가공기계
기계&소재,자동차/철도차량,공조기술
기계&소재,청정생산,공정개선기술
기계&소재,청정생산,공정 및 생산관리기술
기계&소재,에너지/환경 기계시스템,공기조화/냉동기계
기계&소재,항공/우주시스템,고체 추진제 발사체 시스템
기계&소재,항공/우주시스템,고정익/회전익 항공기 전기전자시스템
기계&소재,항공/우주시스템,고정익/회전익 항공기 동력장치
기계&소재,항공/우주시스템,고정익/회전익 항공기 기체
기계&소재,항공/우주시스템,고정익/회전익 항공기 기계시스템
기계&소재,에너지/환경 기계시스템,건조/농축 설비
기계&소재,산업/일반기계,건설/광산기계
기계&소재,조선/해양시스템,갑판설비 및 항해통신장치
기계&소재,에너지/환경 기계시스템,IBS/HA시스템 기술
기계&소재,정밀생산기계,CAD/CAM관련 S/W
기계&소재,주조/용접,Brazing/Soldering
